vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0_00_00_1357553287,56.445,1080,1920,yuv420p,30.0,240,8,8999590
0_00_00_1382276868,18.1518,640,358,yuv420p,30.0,243,8,268131
0_00_00_1471695573,32.7369,1440,1080,yuv420p,30.0,241,8,11263223
0_00_00_1480614099,31.6266,1440,1080,yuv420p,30.0,240,8,6086864
0_00_00_1481698958,41.8113,1440,1080,yuv420p,30.0,241,8,10360761
0_00_00_1489062722,43.7756,1920,1080,yuv420p,30.0,241,8,11866047
0_00_00_1496806576,44.3167,1920,1080,yuv420p,30.0,242,8,3442756
0_00_00_1497739062,25.6297,1440,1080,yuv420p,30.0,240,8,4726784
0_00_00_1498361484,35.3443,1920,1080,yuv420p,30.0,240,8,4166336
0_00_00_1506138520,37.6229,1440,1080,yuv420p,30.0,240,8,12071100
0_00_00_1508325879,44.4001,1920,1080,yuv420p,30.0,242,8,6392188
0_00_00_1520985479,54.6035,720,1280,yuv420p,30.0,240,8,1518672
0_00_00_1523155015,60.3463,1920,1080,yuv420p,30.0,240,0,12673399
0_00_00_1524195843,57.6102,1440,1080,yuv420p,60.0,480,0,796949
0_00_00_1525944632,63.822,1920,1080,yuv420p,30.0,243,8,9232820
0_00_00_1526647919,29.8655,2560,1440,yuv420p,60.0,480,8,24235193
0_00_00_1527099879,68.919,1080,1920,yuv420p,30.0,241,0,10530797
0_00_00_1527179217,44.1108,768,1280,yuv420p,30.0,240,8,5061088
0_00_00_1527540295,27.3207,1920,1080,yuv420p,60.0,481,8,19296903
0_00_00_1528355637,28.468,1920,1080,yuv420p,60.0,480,8,9320505
0_00_00_1528859772,66.5082,2160,3840,yuv420p,25.0,200,8,49094900
0_00_00_1529226310,21.0038,720,1280,yuv420p,30.0,240,8,5608135
0_00_00_1530315612,56.9187,1080,1920,yuv420p,30.0,240,0,12011331
0_00_00_1531155230,22.1937,720,720,yuv420p,30.0,242,8,1031736
0_00_00_1531266030,43.9115,720,1280,yuv420p,30.0,242,8,1342802
0_00_00_1531272710,40.0833,1080,1920,yuv420p,30.0,240,8,3618778
0_00_00_1531508998,21.136,2160,2160,yuv420p,60.0,480,8,11831354
0_00_00_1531588370,68.2154,1080,1920,yuv420p,60.0,243,0,22334596
0_00_00_1532066327,19.5764,1920,1080,yuv420p,30.0,240,8,8121331
