vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
train_video/0001,3.361111111,1080,1920,yuv420p,30.0,230,8,1958477
train_video/0002,3.694444444,1080,1920,yuv420p,30.0,110,0,1229775
train_video/0003,3.833333333,1080,1920,yuv420p,30.0,110,0,550747
train_video/0004,3.722222222,1080,1920,yuv420p,30.0,110,0,202053
train_video/0005,3.75,1080,1920,yuv420p,30.0,110,0,154071
train_video/0006,3.555555556,1080,1920,yuv420p,30.0,110,0,110812
train_video/0007,3.111111111,1080,1920,yuv420p,30.0,110,0,68997
train_video/0008,3.138888889,720,1280,yuv420p,25.0,210,8,3915260
train_video/0009,3.166666667,720,1280,yuv420p,25.0,199,0,2570705
train_video/0010,3.305555556,720,1280,yuv420p,25.0,199,0,868738
train_video/0011,3.444444444,720,1280,yuv420p,25.0,199,0,207307
train_video/0012,3.083333333,720,1280,yuv420p,25.0,199,0,134663
train_video/0013,3.111111111,720,1280,yuv420p,25.0,199,0,81901
train_video/0014,2.777777778,720,1280,yuv420p,25.0,199,0,48420
train_video/0015,3.027777778,720,1280,yuv420p,60.0,114,0,2333962
train_video/0016,3.0,720,1280,yuv420p,60.0,114,0,4486016
train_video/0017,3.055555556,720,1280,yuv420p,60.0,114,0,1836854
train_video/0018,3.027777778,720,1280,yuv420p,60.0,114,0,671410
train_video/0019,3.111111111,720,1280,yuv420p,60.0,114,0,439583
train_video/0020,3.083333333,720,1280,yuv420p,60.0,114,0,260555
train_video/0021,2.972222222,720,1280,yuv420p,60.0,114,0,121023
train_video/0022,3.722222222,1080,1920,yuv420p,30.0,163,8,2813621
train_video/0023,3.944444444,1080,1920,yuv420p,30.0,162,0,4441477
train_video/0024,3.972222222,1080,1920,yuv420p,30.0,162,0,1085038
train_video/0025,3.888888889,1080,1920,yuv420p,30.0,162,0,583659
train_video/0026,3.75,1080,1920,yuv420p,30.0,162,0,407037
train_video/0027,3.722222222,1080,1920,yuv420p,30.0,162,0,231887
train_video/0028,3.527777778,1080,1920,yuv420p,30.0,162,0,148785
train_video/0029,4.138888889,1080,1920,yuv420p,60.0,390,0,10328755
train_video/0030,4.166666667,1080,1920,yuv420p,60.0,300,0,3811406
train_video/0031,4.0,1080,1920,yuv420p,60.0,300,0,1277766
train_video/0032,4.055555556,1080,1920,yuv420p,60.0,300,0,832664
train_video/0033,4.027777778,1080,1920,yuv420p,60.0,300,0,500753
train_video/0034,3.722222222,1080,1920,yuv420p,60.0,300,0,297043
train_video/0035,3.583333333,1080,1920,yuv420p,60.0,300,0,216448
train_video/0036,4.138888889,1080,1920,yuv420p,60.0,137,8,15517523
train_video/0037,4.138888889,1080,1920,yuv420p,60.0,137,0,13144898
train_video/0038,3.805555556,1080,1920,yuv420p,60.0,137,0,2659809
train_video/0039,3.777777778,1080,1920,yuv420p,60.0,137,0,1525884
train_video/0040,3.472222222,1080,1920,yuv420p,60.0,137,0,693666
train_video/0041,3.166666667,1080,1920,yuv420p,60.0,137,0,467498
train_video/0042,2.638888889,1080,1920,yuv420p,60.0,137,0,250868
train_video/0043,3.194444444,1080,1920,yuv420p,25.0,222,8,10058633
train_video/0044,3.305555556,1080,1920,yuv420p,25.0,202,0,8573179
train_video/0045,3.388888889,1080,1920,yuv420p,25.0,202,0,4759487
train_video/0046,3.194444444,1080,1920,yuv420p,25.0,202,0,2197864
train_video/0047,3.194444444,1080,1920,yuv420p,25.0,202,0,1265354
train_video/0048,3.138888889,1080,1920,yuv420p,25.0,202,0,940734
train_video/0049,2.694444444,1080,1920,yuv420p,25.0,202,0,304913
train_video/0050,3.95,1440,1920,yuv420p,30.0,243,8,3407819
train_video/0051,4.35,1440,1920,yuv420p,30.0,243,0,1135275
train_video/0052,4.45,1440,1920,yuv420p,30.0,243,0,304454
train_video/0053,4.5,1440,1920,yuv420p,30.0,243,0,271156
train_video/0054,4.3,1440,1920,yuv420p,30.0,243,0,140048
train_video/0055,4.25,1440,1920,yuv420p,30.0,243,0,115535
train_video/0056,3.75,1440,1920,yuv420p,30.0,243,0,64354
train_video/0057,3.583333333,720,1280,yuv420p,24.0,198,8,9532571
train_video/0058,3.361111111,720,1280,yuv420p,24.0,192,0,10382116
train_video/0059,3.361111111,720,1280,yuv420p,24.0,192,0,3036074
train_video/0060,3.361111111,720,1280,yuv420p,24.0,192,0,1699736
train_video/0061,3.222222222,720,1280,yuv420p,24.0,192,0,1080811
train_video/0062,2.916666667,720,1280,yuv420p,24.0,192,0,547185
train_video/0063,2.472222222,720,1280,yuv420p,24.0,192,0,188865
train_video/0064,4.166666667,1080,1906,yuv420p,60.0,285,8,6704830
train_video/0065,4.138888889,1080,1906,yuv420p,60.0,285,0,6460345
train_video/0066,3.944444444,1080,1906,yuv420p,60.0,285,0,2001148
train_video/0067,3.916666667,1080,1906,yuv420p,60.0,285,0,603897
train_video/0068,3.916666667,1080,1906,yuv420p,60.0,285,0,374142
train_video/0069,4.0,1080,1906,yuv420p,60.0,285,0,240229
train_video/0070,3.638888889,1080,1906,yuv420p,60.0,285,0,182718
train_video/0071,2.888888889,544,960,yuv420p,29.083333333333332,274,8,765601
train_video/0072,3.083333333,544,960,yuv420p,29.083333333333332,157,0,1906156
train_video/0073,3.166666667,544,960,yuv420p,29.083333333333332,157,0,1468799
train_video/0074,3.055555556,544,960,yuv420p,29.083333333333332,157,0,328477
train_video/0075,2.805555556,544,960,yuv420p,29.083333333333332,157,0,256924
train_video/0076,2.555555556,544,960,yuv420p,29.083333333333332,157,0,135663
train_video/0077,2.222222222,544,960,yuv420p,29.083333333333332,157,0,92672
train_video/0078,3.527777778,958,1704,yuv420p,30.0,210,8,8100597
train_video/0079,3.361111111,958,1704,yuv420p,30.0,90,0,10385821
train_video/0080,3.5,958,1704,yuv420p,30.0,90,0,2643509
train_video/0081,3.333333333,958,1704,yuv420p,30.0,90,0,2288101
train_video/0082,3.25,958,1704,yuv420p,30.0,90,0,1045125
train_video/0083,3.0,958,1704,yuv420p,30.0,90,0,597490
train_video/0084,2.472222222,958,1704,yuv420p,30.0,90,0,169226
train_video/0085,3.944444444,720,1280,yuv420p,30.0,242,8,1596734
train_video/0086,3.666666667,720,1280,yuv420p,30.0,243,0,1904229
train_video/0087,3.5,720,1280,yuv420p,30.0,243,0,589308
train_video/0088,3.5,720,1280,yuv420p,30.0,243,0,429230
train_video/0089,3.583333333,720,1280,yuv420p,30.0,243,0,269707
train_video/0090,3.138888889,720,1280,yuv420p,30.0,243,0,109392
train_video/0091,2.861111111,720,1280,yuv420p,30.0,243,0,62588
train_video/0092,4.25,720,1280,yuv420p,25.0,202,8,813626
train_video/0093,4.138888889,720,1280,yuv420p,25.0,201,0,2188568
train_video/0094,4.194444444,720,1280,yuv420p,25.0,201,0,984473
train_video/0095,3.916666667,720,1280,yuv420p,25.0,201,0,392618
train_video/0096,3.583333333,720,1280,yuv420p,25.0,201,0,242411
train_video/0097,3.083333333,720,1280,yuv420p,25.0,201,0,144776
train_video/0098,2.944444444,720,1280,yuv420p,25.0,201,0,110439
train_video/0099,3.583333333,768,1280,yuv420p,59.0,474,8,6930562
train_video/0100,3.722222222,768,1280,yuv420p,59.0,474,0,6043193
train_video/0101,3.666666667,768,1280,yuv420p,59.0,474,0,2279204
train_video/0102,3.583333333,768,1280,yuv420p,59.0,474,0,1301459
train_video/0103,3.472222222,768,1280,yuv420p,59.0,474,0,656035
train_video/0104,3.111111111,768,1280,yuv420p,59.0,474,0,350849
train_video/0105,2.722222222,768,1280,yuv420p,59.0,474,0,231966
train_video/0106,3.694444444,1080,1920,yuv420p,30.0,240,8,7317888
train_video/0107,3.555555556,1080,1920,yuv420p,30.0,240,0,2766270
train_video/0108,3.583333333,1080,1920,yuv420p,30.0,240,0,925120
train_video/0109,3.277777778,1080,1920,yuv420p,30.0,240,0,408354
train_video/0110,3.305555556,1080,1920,yuv420p,30.0,240,0,372204
train_video/0111,3.138888889,1080,1920,yuv420p,30.0,240,0,211309
train_video/0112,2.527777778,1080,1920,yuv420p,30.0,240,0,125473
train_video/0113,4.111111111,1440,2560,yuv420p,60.0,480,8,64004030
train_video/0114,3.944444444,1440,2560,yuv420p,60.0,481,0,34418293
train_video/0115,3.972222222,1440,2560,yuv420p,60.0,481,0,5477724
train_video/0116,3.833333333,1440,2560,yuv420p,60.0,481,0,3520168
train_video/0117,4.055555556,1440,2560,yuv420p,60.0,481,0,2011528
train_video/0118,3.638888889,1440,2560,yuv420p,60.0,481,0,1167414
train_video/0119,2.944444444,1440,2560,yuv420p,60.0,481,0,483541
train_video/0120,2.777777778,1080,1920,yuv420p,30.0,101,8,7795050
train_video/0121,2.916666667,1080,1920,yuv420p,30.0,101,0,2167323
train_video/0122,2.777777778,1080,1920,yuv420p,30.0,101,0,631028
train_video/0123,2.805555556,1080,1920,yuv420p,30.0,101,0,395845
train_video/0124,2.555555556,1080,1920,yuv420p,30.0,101,0,251983
train_video/0125,2.277777778,1080,1920,yuv420p,30.0,101,0,142819
train_video/0126,1.861111111,1080,1920,yuv420p,30.0,101,0,94997
train_video/0127,3.25,1080,1920,yuv420p,30.0,240,8,15265909
train_video/0128,3.722222222,1080,1920,yuv420p,30.0,240,0,2782113
train_video/0129,3.638888889,1080,1920,yuv420p,30.0,240,0,789022
train_video/0130,3.555555556,1080,1920,yuv420p,30.0,240,0,511741
train_video/0131,3.305555556,1080,1920,yuv420p,30.0,240,0,292600
train_video/0132,3.194444444,1080,1920,yuv420p,30.0,240,0,222034
train_video/0133,2.916666667,1080,1920,yuv420p,30.0,240,0,151975
train_video/0134,3.916666667,720,1280,yuv420p,29.97,362,8,1470995
train_video/0135,3.694444444,720,1280,yuv420p,29.97,245,0,1086890
train_video/0136,3.75,720,1280,yuv420p,29.97,245,0,491050
train_video/0137,3.666666667,720,1280,yuv420p,29.97,245,0,120100
train_video/0138,3.555555556,720,1280,yuv420p,29.97,245,0,94354
train_video/0139,3.222222222,720,1280,yuv420p,29.97,245,0,47028
train_video/0140,3.0,720,1280,yuv420p,29.97,245,0,35334
train_video/0141,3.416666667,908,1916,yuv420p,30.0,360,0,6149162
train_video/0142,3.416666667,908,1916,yuv420p,30.0,240,0,9345572
train_video/0143,3.388888889,908,1916,yuv420p,30.0,240,0,3757709
train_video/0144,3.277777778,908,1916,yuv420p,30.0,240,0,1473454
train_video/0145,3.138888889,908,1916,yuv420p,30.0,240,0,748028
train_video/0146,2.75,908,1916,yuv420p,30.0,240,0,393094
train_video/0147,2.222222222,908,1916,yuv420p,30.0,240,0,182795
train_video/0148,4.166666667,720,1280,yuv420p,30.0,360,8,7934569
train_video/0149,3.833333333,720,1280,yuv420p,30.0,240,0,2289763
train_video/0150,3.722222222,720,1280,yuv420p,30.0,240,0,1092025
train_video/0151,3.777777778,720,1280,yuv420p,30.0,240,0,547733
train_video/0152,3.472222222,720,1280,yuv420p,30.0,240,0,256484
train_video/0153,3.25,720,1280,yuv420p,30.0,240,0,198639
train_video/0154,2.861111111,720,1280,yuv420p,30.0,240,0,115513
train_video/0155,3.472222222,1280,720,yuv420p,25.0,200,8,9376802
train_video/0156,3.722222222,1280,720,yuv420p,25.0,199,0,11208834
train_video/0157,3.916666667,1280,720,yuv420p,25.0,199,0,3118812
train_video/0158,3.75,1280,720,yuv420p,25.0,199,0,1816968
train_video/0159,3.5,1280,720,yuv420p,25.0,199,0,1161988
train_video/0160,3.25,1280,720,yuv420p,25.0,199,0,1018701
train_video/0161,2.861111111,1280,720,yuv420p,25.0,199,0,386410
train_video/0162,3.388888889,1546,1080,yuv420p,30.0,240,8,11184784
train_video/0163,3.472222222,1546,1080,yuv420p,30.0,240,0,14788132
train_video/0164,3.361111111,1546,1080,yuv420p,30.0,240,0,2845208
train_video/0165,3.416666667,1546,1080,yuv420p,30.0,240,0,1607197
train_video/0166,3.444444444,1546,1080,yuv420p,30.0,240,0,791470
train_video/0167,3.25,1546,1080,yuv420p,30.0,240,0,368892
train_video/0168,3.111111111,1546,1080,yuv420p,30.0,240,0,263508
train_video/0169,3.25,1080,1920,yuv420p,30.0,205,8,2677229
train_video/0170,3.111111111,1080,1920,yuv420p,30.0,205,0,6422850
train_video/0171,3.25,1080,1920,yuv420p,30.0,205,0,1924609
train_video/0172,3.027777778,1080,1920,yuv420p,30.0,205,0,617930
train_video/0173,3.027777778,1080,1920,yuv420p,30.0,205,0,376459
train_video/0174,2.694444444,1080,1920,yuv420p,30.0,205,0,206477
train_video/0175,2.277777778,1080,1920,yuv420p,30.0,205,0,145260
train_video/0176,3.5,576,1024,yuv420p,25.0,302,8,552246
train_video/0177,3.25,576,1024,yuv420p,25.0,201,0,3205578
train_video/0178,3.222222222,576,1024,yuv420p,25.0,201,0,1310243
train_video/0179,3.25,576,1024,yuv420p,25.0,201,0,550049
train_video/0180,3.111111111,576,1024,yuv420p,25.0,201,0,262084
train_video/0181,3.0,576,1024,yuv420p,25.0,201,0,159305
train_video/0182,2.5,576,1024,yuv420p,25.0,201,0,71836
train_video/0183,2.97222222222222,720,1280,yuv420p,29.416666666666668,151,0,1855243
train_video/0184,1.88888888888888,720,1280,yuv420p,29.416666666666668,254,0,142119
train_video/0185,2.77777777777777,720,1280,yuv420p,29.416666666666668,254,0,412722
train_video/0186,3.30555555555555,720,1280,yuv420p,29.416666666666668,254,0,952989
train_video/0187,3.36111111111111,720,1280,yuv420p,29.416666666666668,254,0,4743681
train_video/0188,3.36111111111111,720,1280,yuv420p,29.416666666666668,254,0,1336018
train_video/0189,3.08333333333333,720,1280,yuv420p,29.416666666666668,254,0,532022
train_video/0190,3.5,1080,1920,yuv420p,25.0,242,8,8129051
train_video/0191,3.388888889,1080,1920,yuv420p,25.0,201,0,17411901
train_video/0192,3.472222222,1080,1920,yuv420p,25.0,201,0,4975710
train_video/0193,3.555555556,1080,1920,yuv420p,25.0,201,0,1745701
train_video/0194,3.222222222,1080,1920,yuv420p,25.0,201,0,1030110
train_video/0195,3.055555556,1080,1920,yuv420p,25.0,201,0,498410
train_video/0196,2.944444444,1080,1920,yuv420p,25.0,201,0,426842
train_video/0197,3.611111111,1080,1920,yuv420p,30.0,240,0,12947175
train_video/0198,3.5,1080,1920,yuv420p,30.0,240,0,4908450
train_video/0199,3.444444444,1080,1920,yuv420p,30.0,240,0,1655756
train_video/0200,3.222222222,1080,1920,yuv420p,30.0,240,0,1000606
train_video/0201,3.361111111,1080,1920,yuv420p,30.0,240,0,788396
train_video/0202,2.777777778,1080,1920,yuv420p,30.0,240,0,363354
train_video/0203,2.805555556,1080,1920,yuv420p,30.0,240,0,317590
train_video/0204,2.694444444,720,1270,yuv420p,60.0,480,8,5158027
train_video/0205,2.444444444,720,1270,yuv420p,60.0,480,0,2773591
train_video/0206,2.5,720,1270,yuv420p,60.0,480,0,779956
train_video/0207,2.472222222,720,1270,yuv420p,60.0,480,0,269471
train_video/0208,2.277777778,720,1270,yuv420p,60.0,480,0,189444
train_video/0209,2.083333333,720,1270,yuv420p,60.0,480,0,108729
train_video/0210,1.75,720,1270,yuv420p,60.0,480,0,68083
train_video/0211,3.833333333,1080,1920,yuv420p,59.0,117,8,12449532
train_video/0212,3.805555556,1080,1920,yuv420p,59.0,117,0,4385065
train_video/0213,3.666666667,1080,1920,yuv420p,59.0,117,0,2537443
train_video/0214,3.611111111,1080,1920,yuv420p,59.0,117,0,1202179
train_video/0215,3.638888889,1080,1920,yuv420p,59.0,117,0,684307
train_video/0216,3.472222222,1080,1920,yuv420p,59.0,117,0,436168
train_video/0217,3.055555556,1080,1920,yuv420p,59.0,117,0,276587
train_video/0218,3.083333333,720,1280,yuv420p,24.0,290,8,254264
train_video/0219,3.388888889,720,1280,yuv420p,24.0,197,0,806470
train_video/0220,3.361111111,720,1280,yuv420p,24.0,197,0,270821
train_video/0221,3.111111111,720,1280,yuv420p,24.0,197,0,107867
train_video/0222,3.055555556,720,1280,yuv420p,24.0,197,0,88708
train_video/0223,2.916666667,720,1280,yuv420p,24.0,197,0,46132
train_video/0224,2.583333333,720,1280,yuv420p,24.0,197,0,32611
train_video/0225,3.305555556,1080,1906,yuv420p,30.0003,363,8,4182666
train_video/0226,3.277777778,1080,1906,yuv420p,30.0003,245,0,3933485
train_video/0227,3.055555556,1080,1906,yuv420p,30.0003,245,0,816209
train_video/0228,3.194444444,1080,1906,yuv420p,30.0003,245,0,544713
train_video/0229,3.305555556,1080,1906,yuv420p,30.0003,245,0,326695
train_video/0230,2.777777778,1080,1906,yuv420p,30.0003,245,0,159492
train_video/0231,2.611111111,1080,1906,yuv420p,30.0003,245,0,125751
train_video/0232,2.861111111,720,1280,yuv420p,30.0,262,8,1672891
train_video/0233,3.027777778,720,1280,yuv420p,30.0,242,0,7175433
train_video/0234,2.972222222,720,1280,yuv420p,30.0,242,0,1515739
train_video/0235,2.944444444,720,1280,yuv420p,30.0,242,0,1338752
train_video/0236,2.861111111,720,1280,yuv420p,30.0,242,0,650643
