vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
HDR_Animal_2ny4,4.106,1080,1920,yuv420p,30.0,150,8,54348496
HDR_Animal_3bw7,4.346,1080,1920,yuv420p,30.0,150,8,53438257
HDR_Animal_4ah4,4.35,1080,1920,yuv420p,30.0,150,8,45865548
HDR_Animal_4e41,4.238,1080,1920,yuv420p,30.0,150,8,41892115
HDR_Animal_5lmh,4.565,1080,1920,yuv420p,30.0,150,8,27828635
HDR_Animal_76xu,4.373,1080,1920,yuv420p,30.0,150,8,42944820
HDR_Animal_7wo3,4.62,1080,1920,yuv420p,30.0,150,8,48202828
HDR_Animal_8aq3,4.354,1080,1920,yuv420p,30.0,150,8,41879368
HDR_Animal_8k14,4.442,1080,1920,yuv420p,30.0,150,8,52248323
HDR_Animal_bgnr,4.348,1080,1920,yuv420p,30.0,150,8,49645641
HDR_Animal_bi25,4.719,1080,1920,yuv420p,30.0,150,8,41752792
HDR_Animal_bwpc,4.508,1080,1920,yuv420p,30.0,150,8,75981024
HDR_Animal_cm7h,4.355,1080,1920,yuv420p,30.0,150,8,65308534
HDR_Animal_dfqx,4.244,1080,1920,yuv420p,30.0,150,8,58676536
HDR_Animal_g4fm,4.492,1080,1920,yuv420p,30.0,150,8,41766564
HDR_Animal_j1zd,4.313,1080,1920,yuv420p,30.0,150,8,43492288
HDR_Animal_kopm,4.558,1080,1920,yuv420p,30.0,150,8,41973056
HDR_Animal_l12a,3.8,1080,1920,yuv420p,30.0,150,8,53471585
HDR_Animal_tjac,4.35,1080,1920,yuv420p,30.0,150,8,51206105
HDR_Animal_to97,4.4,1080,1920,yuv420p,30.0,150,8,34726571
HDR_Animal_ulz4,4.405,1080,1920,yuv420p,30.0,150,8,65311379
HDR_Animal_um6q,4.265,1080,1920,yuv420p,30.0,150,8,84183041
HDR_Animal_uo0r,4.143,1080,1920,yuv420p,30.0,150,8,49392057
HDR_Animal_uy3b,4.6,1080,1920,yuv420p,30.0,150,8,55518177
HDR_Animal_vayg,4.3,1080,1920,yuv420p,30.0,150,8,46846276
HDR_Animal_x0yg,4.537,1080,1920,yuv420p,30.0,150,8,71518297
HDR_Animal_x5a0,4.415,1080,1920,yuv420p,30.0,150,8,58951462
HDR_Animal_xxyz,4.077,1080,1920,yuv420p,30.0,150,8,100147318
HDR_Animal_zhr3,4.395,1080,1920,yuv420p,30.0,150,8,36284401
HDR_Animal_zypi,4.508,1080,1920,yuv420p,30.0,150,8,50884998
HDR_Cooking_0c3v,4.475,1080,1920,yuv420p,30.0,150,8,41504856
HDR_Cooking_3m6b,4.373,1080,1920,yuv420p,30.0,150,8,45153139
HDR_Cooking_3z5l,4.527,1080,1920,yuv420p,30.0,150,8,27296849
HDR_Cooking_6kia,4.595,1080,1920,yuv420p,30.0,150,8,46861644
HDR_Cooking_7twh,4.614,1080,1920,yuv420p,30.0,150,8,29958328
HDR_Cooking_8wjt,4.594,1080,1920,yuv420p,30.0,150,8,55103273
HDR_Cooking_9z8q,4.61,1080,1920,yuv420p,30.0,150,8,25438275
