vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
SDR_Animal_01ld,4.186,1080,1920,yuv420p,30.0,150,8,11992017
SDR_Animal_0blt,4.318,1080,1920,yuv420p,30.0,151,8,28714018
SDR_Animal_0ea7,4.069,1080,1920,yuv420p,30.0,150,8,31068740
SDR_Animal_0eqz,4.22,1080,1920,yuv420p,30.0,151,8,15138678
SDR_Animal_0i96,4.638,1080,1920,yuv420p,30.0,151,8,34098673
SDR_Animal_131w,3.752,1080,1920,yuv420p,30.0,150,8,14538627
SDR_Animal_18vu,4.173,1080,1920,yuv420p,30.0,151,8,25839202
SDR_Animal_1an2,4.525,1080,1920,yuv420p,30.0,150,8,53385478
SDR_Animal_1iej,4.55,1080,1920,yuv420p,30.0,153,8,34970384
SDR_Animal_1p78,4.386,1080,1920,yuv420p,30.0,150,8,61401892
SDR_Animal_1vw0,3.837,1080,1920,yuv420p,30.0,150,8,16694550
SDR_Animal_23rp,3.674,1080,1920,yuv420p,30.0,150,8,19519356
SDR_Animal_24ui,4.352,1080,1920,yuv420p,30.0,151,8,16599469
SDR_Animal_25nk,4.034,1080,1920,yuv420p,30.0,151,8,542643
SDR_Animal_26bm,4.291,1080,1920,yuv420p,30.0,150,8,31370585
SDR_Animal_2h58,3.868,1080,1920,yuv420p,30.0,150,8,25145606
SDR_Animal_2h5g,3.933,1080,1920,yuv420p,30.0,151,8,21052281
SDR_Animal_2hrc,3.9,1080,1920,yuv420p,30.0,151,8,27906570
SDR_Animal_2pca,4.474,1080,1920,yuv420p,30.0,151,8,3565368
SDR_Animal_2rns,4.01,1080,1920,yuv420p,30.0,150,8,5468955
SDR_Animal_2s8m,3.752,1080,1920,yuv420p,30.0,151,8,11277878
SDR_Animal_2sca,3.386,1080,1920,yuv420p,30.0,150,8,25823982
SDR_Animal_3dyj,4.316,1080,1920,yuv420p,30.0,153,8,12005711
SDR_Animal_3r6r,4.143,1080,1920,yuv420p,30.0,150,8,12362833
SDR_Animal_3rmw,3.335,1080,1920,yuv420p,30.0,150,8,20275627
SDR_Animal_3w3f,3.866,1080,1920,yuv420p,30.0,151,8,428522
SDR_Animal_3x8n,2.839,1080,1920,yuv420p,30.0,152,8,10727485
SDR_Animal_448f,4.135,1080,1920,yuv420p,30.0,153,8,9614881
SDR_Animal_45j4,4.474,1080,1920,yuv420p,30.0,152,8,5354703
SDR_Animal_45o8,4.197,1080,1920,yuv420p,30.0,153,8,9955938
SDR_Animal_4jci,4.06,1080,1920,yuv420p,30.0,151,8,26326539
SDR_Animal_4z11,4.144,1080,1920,yuv420p,30.0,150,8,59970825
SDR_Animal_57m2,3.903,1080,1920,yuv420p,30.0,153,8,2917852
SDR_Animal_5c6f,4.174,1080,1920,yuv420p,30.0,151,8,37012569
SDR_Animal_5hxr,3.764,1080,1920,yuv420p,30.0,151,8,18169969
SDR_Animal_5kzv,4.533,1080,1920,yuv420p,30.0,151,8,8578590
SDR_Animal_5ngj,4.308,1080,1920,yuv420p,30.0,150,8,19042033
SDR_Animal_5u3c,3.814,1080,1920,yuv420p,30.0,152,8,20817208
SDR_Animal_5ykj,4.356,1080,1920,yuv420p,30.0,150,8,18986948
SDR_Animal_6doh,4.0,1080,1920,yuv420p,30.0,150,8,38342833
SDR_Animal_6jkv,4.15,1080,1920,yuv420p,30.0,151,8,32123260
SDR_Animal_6lc9,2.939,1080,1920,yuv420p,30.0,150,8,19297470
SDR_Animal_6m0g,4.141,1080,1920,yuv420p,30.0,150,8,26069776
SDR_Animal_6mzz,4.188,1080,1920,yuv420p,30.0,150,8,37400515
SDR_Animal_6v9a,4.462,1080,1920,yuv420p,30.0,153,8,18727593
SDR_Animal_6w49,4.51,1080,1920,yuv420p,30.0,150,8,59365732
SDR_Animal_7dm5,3.804,1080,1920,yuv420p,30.0,151,8,18282012
SDR_Animal_7hth,3.793,1080,1920,yuv420p,30.0,153,8,5552453
SDR_Animal_7lia,4.247,1080,1920,yuv420p,30.0,151,8,11674374
SDR_Animal_7plf,3.523,1080,1920,yuv420p,30.0,150,8,27096790
SDR_Animal_7su8,4.248,1080,1920,yuv420p,30.0,151,8,21912637
SDR_Animal_81ur,4.177,1080,1920,yuv420p,30.0,150,8,10070908
SDR_Animal_82tv,4.26,1080,1920,yuv420p,30.0,150,8,21964729
SDR_Animal_8b57,4.096,1080,1920,yuv420p,30.0,151,8,907557
SDR_Animal_8dm9,4.207,1080,1920,yuv420p,30.0,152,8,16676774
SDR_Animal_8e8z,4.032,1080,1920,yuv420p,30.0,153,8,2577311
SDR_Animal_8g6z,3.821,1080,1920,yuv420p,30.0,150,8,39413033
SDR_Animal_8m90,3.619,1080,1920,yuv420p,30.0,152,8,16451876
SDR_Animal_93pb,3.548,1080,1920,yuv420p,30.0,151,8,21246068
SDR_Animal_9ceh,3.231,1080,1920,yuv420p,30.0,153,8,4024779
SDR_Animal_9ebc,4.419,1080,1920,yuv420p,30.0,150,8,41555716
SDR_Animal_9i4a,4.311,1080,1920,yuv420p,30.0,151,8,23834121
SDR_Animal_9ima,2.627,1080,1920,yuv420p,30.0,153,8,9171665
SDR_Animal_9lld,4.458,1080,1920,yuv420p,30.0,150,8,51498796
SDR_Animal_9lsa,4.071,1080,1920,yuv420p,30.0,151,8,537105
SDR_Animal_9mo4,4.295,1080,1920,yuv420p,30.0,150,8,50384523
SDR_Animal_9p8p,3.421,1080,1920,yuv420p,30.0,152,8,7125994
SDR_Animal_aaie,4.711,1080,1920,yuv420p,30.0,150,8,843556
SDR_Animal_aaqp,4.0,1080,1920,yuv420p,30.0,151,8,9021464
SDR_Animal_arfg,4.119,1080,1920,yuv420p,30.0,151,8,3998659
SDR_Animal_ataf,4.186,1080,1920,yuv420p,30.0,152,8,12741645
SDR_Animal_avus,3.431,1080,1920,yuv420p,30.0,150,8,8616124
